,Id,Soil type,StuckInMud,VisibleSnow,Town,Area,Date,EPSG,Latitude,Longitude,NSDSI1,NSDSI2,NSDSI3,SurfaceTemp,NSDSI1-2week,NSDSI2-2week,NSDSI3-2week,SurfaceTemp-2week,NSDSI1-4week,NSDSI2-4week,NSDSI3-4week,SurfaceTemp-4week
0,1,alluvial,False,False,Zolotarivka,Sjevjerodonetsk,2023-03-04,32637,442670.5144713268,5414285.062819682,0.07315303430079155,0.07892676677816525,0.03796515011468282,36956.0,0.07315303430079155,0.07892676677816525,0.03796515011468282,36956.0,0.07315303430079155,0.07892676677816525,0.03796515011468282,36956.0
1,2,chernozems,False,False,Novomykhailivka,Mariinka,2022-03-01,32637,389180.6023865981,5302440.749933072,,,,,,,,,,,,
2,3,chernozems,False,False,Pisky,Pisky,2023-03-31,32637,399542.8694634169,5325407.479644734,,,,,,,,,,,,
3,4,chernozems,False,False,Vodyane,Pisky,2022-03-01,32637,400527.0189609561,5328310.933220751,,,,,,,,,0.06411265634566606,0.06850467289719626,0.033117968644106086,36254.0
4,5,chernozems,False,False,Bila Hora,Bakhmut,2023-01-04,32637,419822.0656486975,5370714.824525178,-0.08429536048791113,-0.07774206508638007,-0.040443097502351345,34628.0,-0.08429536048791113,-0.07774206508638007,-0.040443097502351345,34628.0,-0.08429536048791113,-0.07774206508638007,-0.040443097502351345,34628.0
5,6,lessive,False,False,Hostomel,Hostomel,2022-03-01,32636,307701.0451035951,5610178.783868496,0.09464361029101645,0.10453740799403709,0.049672392420754385,37345.0,0.10544302742352255,0.11787178531494595,0.05565577016146773,38201.0,-0.10544716364046465,-0.09538869618445216,-0.0500830253361187,34608.0
6,7,kastanozem,True,False,Novohryhorivka,Kherson,2022-04-29,32636,450181.2601078134,5190227.357765969,,,,,,,,,,,,
7,8,chernozems,False,True,Avdiivka,Avdiivka,2022-03-15,32637,410311.1239922896,5330182.33801698,-0.2834711608918664,-0.22086289862164588,-0.12414046025488218,36794.0,-0.2834711608918664,-0.22086289862164588,-0.12414046025488218,36794.0,-0.2834711608918664,-0.22086289862164588,-0.12414046025488218,36794.0
8,9,chernozems,True,False,Nova Dmytrivka,Izium,2022-04-30,32637,365495.40342994896,5428187.999683072,,,,,0.0017371601208459216,0.0017401830975259135,0.0008693351475979892,,0.0017371601208459216,0.0017401830975259135,0.0008693351475979892,
9,10,chernozems,False,False,Mariinka,Mariinka,2022-08-05,32637,390511.4257818551,5313183.214028555,,,,,0.1919034643830284,0.23747591522157996,0.10613562970936491,44664.0,,,,
10,11,chernozems,False,False,Velyka Novosilka,Velyka Novosilka,2022-11-05,32637,334784.0458532473,5299823.041103398,0.09757455268389661,0.10812477969686288,0.05128955398570413,38405.0,0.11986912552052349,0.13619466035822914,0.06375573485208037,41179.0,0.13350726798360044,0.15407777013076393,0.07152841567155238,43303.0
11,12,chernozems,False,False,Novopetrivka,Kherson,2022-05-15,32636,469873.80956834654,5209862.953177891,,,,,,,,,,,,
12,13,alluvial,False,False,Lyman,Lyman,2022-05-22,32637,418840.904730522,5418293.310462949,,,,,0.21084761681145808,0.26718238619458495,0.1178477690288714,,,,,
13,14,chernozems,False,False,Kharkiv,Kharkiv,2022-05-27,32637,308542.7005573589,5563367.193540019,,,,,,,,,,,,
14,15,chernozems,False,False,Nyrkove,Vrubivka,2022-05-31,32637,448330.2876106656,5398579.353394967,0.11436191073809711,0.12912939509343724,0.06064891846921797,47110.0,0.15625,0.18518518518518517,0.0847457627118644,45724.0,0.14123376623376624,0.16446124763705103,0.07598253275109171,44030.0
15,16,chernozems,False,False,Nyrkove,Vrubivka,2022-05-01,32637,448330.2876106656,5398579.353394967,0.14123376623376624,0.16446124763705103,0.07598253275109171,44030.0,0.10014806838067035,0.11129394166043381,0.05271361768456851,43730.0,0.10014806838067035,0.11129394166043381,0.05271361768456851,43730.0
16,17,chernozems,False,False,Novobakhmutivka,New York,2022-01-06,32637,410125.9909872103,5346631.600921381,0.0008811543121489151,0.0008819314298313307,0.00044077134986225897,,0.0008811543121489151,0.0008819314298313307,0.00044077134986225897,,0.0008811543121489151,0.0008819314298313307,0.00044077134986225897,
17,18,kastanozem,False,False,Pravdyne,Kherson,2022-06-19,32636,437134.1822154351,5176281.193914519,,,,,,,,,0.16984058060914337,0.20458791003511917,0.09280097613882864,45567.0
18,19,alluvial,False,False,Toshkivka,Sjevjerodonetsk,2022-06-21,32637,462002.3082579393,5403899.279937293,0.24170326988775012,0.318744971842317,0.13746443688848797,46066.0,0.23039799435913508,0.2993729131036729,0.13019763405822768,45543.0,0.11336281699602531,0.1278570526581639,0.0600872377674253,46483.0
19,20,alluvial,False,False,Velyka Komyshuvakha,Izium,2022-06-27,32637,355573.53906633344,5442869.551212415,,,,,0.10219827322270529,0.11383167371436366,0.05385086955118898,48914.0,,,,
20,21,alluvial,False,False,Topolivka,Sjevjerodonetsk,2022-06-01,32637,450566.68272048386,5409921.747404023,0.15491095730616689,0.18330726051348117,0.0839585265110006,47488.0,0.12264408631521442,0.13978829389788294,0.0653280954459479,47387.0,0.1020536462699078,0.11365227537922987,0.05377056420448272,45233.0
21,22,chernozems,False,False,Vuhledar,Vuhledar,2022-06-30,32637,367967.7158639938,5295851.753338661,,,,,,,,,,,,
22,23,chernozems,False,False,Karnaukhivka,Izium,2022-05-07,32637,357954.05084748694,5436330.859662474,,,,,,,,,0.08963616937524602,0.09846191858669467,0.0469209937595667,
23,24,chernozems,False,False,Nyrkove,Vrubivka,2022-07-13,32637,448328.74202650366,5398563.248206172,0.18027461981396722,0.21992074927953892,0.09906693711967546,44713.0,0.1400029061319384,0.16279462701698066,0.07527049724620131,46967.0,0.1312704768838733,0.15110626885685552,0.07024584096310438,47477.0
24,25,chernozems,False,False,Lozove,Kherson,2022-06-15,32636,505119.59672037873,5226945.913382079,,,,,,,,,,,,
25,26,chernozems,False,False,Ivanivka,Kherson,2022-11-08,32636,784838.6497937067,5506112.272633294,,,,,,,,,,,,
